
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新建
dialog_load                             讀取
dialog_save                             儲存
dialog_saveas                           另存
dialog_delete                           刪除
dialog_width                            寬
dialog_height                           高
dialog_name                             名稱
dialog_type                             類型
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             離開
dialog_cancel                           取消
dialog_ok                               確認
dialog_open                             開啟
dialog_close                            關閉
dialog_closed                           已關閉
dialog_add                              增加
dialog_up                               上
dialog_down                             下
dialog_yes                              是
dialog_no                               否
dialog_loading                          讀取中...
dialog_low                              低
dialog_medium                           中
dialog_high                             高
dialog_none                             無
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      對話編輯器
dialogeditor_back                       後
dialogeditor_front                      前
dialogeditor_reloadlanguage             重新載入語言
dialogeditor_test                       測試
dialogeditor_window                     視窗
dialogeditor_grid                       網格
dialogeditor_caption                    標題
dialogeditor_component                  元件
dialogeditor_select						選擇
dialogeditor_create						建立
dialogeditor_background                 背景圖
dialogeditor_panel                      面板

dialogcomponent_custom                  自訂
dialogcomponent_button                  按鈕
dialogcomponent_container               容器
dialogcomponent_caption                 標題
dialogcomponent_titlecaption            標題說明
dialogcomponent_checkbox                勾選框
dialogcomponent_inputfield              輸入框
dialogcomponent_inputslider             滑桿
dialogcomponent_dropdownmenu            下拉式選單
dialogcomponent_selectionlist           選擇列表
dialogcomponent_selectionlistitem       選擇列表項目
dialogcomponent_scrollbar               捲軸
dialogcomponent_progressbar             進度條
dialogcomponent_canvas                  畫布
dialogcomponent_iconbox					圖示

dialogposition_absolute                 絕對
dialogposition_relative                 相對
dialogposition_scaled                   縮放


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          分析器
profiler_name                           名稱
profiler_timings                        時機
profiler_totaltime                      總計
profiler_glfinishcaption                glFinish
profiler_reset                          重設


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                音效頻道
soundeditor_title                       音效編輯器
soundinstanceeditor_title				音效物件編輯器

soundeditor_positiontitle		        位置類型
soundeditor_instancetitle		        物件類型
soundeditor_looptitle			        重播方式
soundeditor_sourcetypetitle		        音效類型
soundeditor_soundnametitle		        音效名稱

soundeditor_volumetitle			        音量
soundeditor_frequencytitle              頻率
soundeditor_mindistancetitle            最短距離
soundeditor_attacktitle                 攻擊
soundeditor_sustaintitle                承受
soundeditor_releasetitle                釋放
soundeditor_loopdelaytitle              重播延遲
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              下一個事件

soundeditor_play                        播放
soundeditor_stop                        停止

soundparametereditor_title              音效參數
soundparametereditor_typetitle          類型
soundparametereditor_linktitle          連結至
soundparametereditor_updatetitle        更新類型
soundparametereditor_smoothing          平滑
soundparametereditor_chaintitle         連鎖

soundeditor_newdsp                      新增 DSP
sounddspeditor_title                    DSP 編輯器
samplebankeditor_title                  範例庫編輯器
samplebankeditor_addsample              新增音效
samplebank                              (範例庫)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            完成
interfacemode_destroy                         剷除
interfacemode_foundations				      地基
interfacemode_construction                    建材
interfacemode_planning                        規劃
interfacemode_objects                         物件
interfacemode_designation                     規劃房間
interfacemode_utilities                       設施
interfacemode_staff                           員工
interfacemode_deployment                      部署
interfacemode_logistics                       後勤
interfacemode_prisoners                       囚犯
interfacemode_needs                           需求
interfacemode_threats                         威脅
interfacemode_overlays                        圖層
interfacemode_research                        制度
interfacemode_emergencies                     緊急
interfacemode_clone                           複製建設
