
campaigncutscene_tooltip 				(點一下繼續下一章故事)
campaignchapter_locked                  (未解鎖)


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    巴勒莫

campaignchapter_food_description        一場猛烈的火災把監獄的廚房和餐廳都燒光了，如果我們\n不趕緊想辦法解決伙食問題，可能會發生全面暴動。\n解決食物危機並重建廚房和餐廳。

adviser_food_fire_1                     我們的另一座設施正面臨潛藏的危機。
adviser_food_fire_2                     有人在監獄廚房內放火，現在首要任務是先把火撲滅，減少傷亡並防止災情擴大。
adviser_food_fire_3                     使用工具列上的緊急服務按鈕呼叫消防隊。
adviser_food_fire_4                     在火勢蔓延到整座監獄之前撲滅他！

objective_food_callfirebrigade          呼叫消防隊
objective_food_extinguishflames         撲滅火焰

objective_food_callfirebrigade_description 	要呼叫消防隊，請點選工具列上的緊急按鈕，然後點選消防隊員
objective_food_extinguishflames_description  當選擇消防隊員時，你可以按住 H 來手動瞄準消防水管的方向，將水管對準火源中心。\n\n讓消防隊員盡量靠近火場 - 會更有效率撲滅火勢。

adviser_food_savedon1                   我的老天啊，廢墟之中有一個生還者。
adviser_food_savedon2					難以置信，是唐・巴勒莫，在所有囚犯中...他就像是老大一樣。
adviser_food_donintro2					壞消息，之前因為預算拮据，監獄內現在沒有常駐醫師。
adviser_food_donintro3				 	不過好消息是，我們的醫務室還能使用，現在雇用一些醫生來照顧唐・巴勒莫，\n我們要處理一下火災善後。

adviser_food_afterfire3                 我們得整理這堆廢墟。
adviser_food_afterfire4                 使用拆除剷平工具把餐廳和廚房的廢墟給拆了，記得要把所有殘骸都清乾淨。
adviser_food_afterfire6                 在道路旁邊規劃一個垃圾場，工人會把殘骸丟到那邊等垃圾車來收。
adviser_food_dismissfiremen1			最後，消防隊員已經做完他們的工作，你可以讓他們回家了。
adviser_food_gamespeed                  拆除廢墟需要一些時間，你可以點時鐘下面的速度按鈕加快遊戲時間。

adviser_food_todolist1					其他詳細細節我把列入你的待辦事項清單。
adviser_food_todolist2					如果你不知道該怎麼做，將滑鼠指在事項就可以看到進一步的說明。

objective_food_buildmedicalward_doctors 雇用一些醫生到醫務室

objective_food_DismissAllFiremen		解散消防隊員
objective_food_cleararea                清理火場廢墟
